IP_Address	MAC_Address	Non-Std_Ports	Potential_DDoS	L_Pkt_Size	Unsolicitated_ARP_Replies	Unusually_L_DNS	Excessive_ICMP_Echo_Req	Excessive_TCP_SYN	Excessive_Port_Scanning	MDP(%)
172.17.153.86	e4:54:e8:9d:09:57	0	0	0	0	0	0	0	0	0.0
172.17.152.4	00:e0:4c:08:a9:e7	0	0	0	0	0	0	0	0	0.0
172.17.156.208	2c:3e:cf:fb:e0:1d	0	0	0	0	0	0	0	0	0.0
172.17.158.138	2c:3e:cf:fb:ea:15	0	0	0	0	0	0	0	0	0.0
172.17.153.53	8c:ec:4b:56:24:5e	0	0	0	0	0	0	0	0	0.0
172.17.157.203	e4:a8:df:95:77:18	0	0	0	0	0	0	0	0	0.0
172.17.153.198	2c:3e:cf:fb:e5:e4	0	0	0	0	0	0	0	0	0.0
172.17.156.152	50:9a:4c:33:b3:c0	0	0	0	0	0	0	0	0	0.0
172.17.154.42	8c:ec:4b:55:da:d5	0	0	0	0	0	0	0	0	0.0
172.17.158.79	2c:3e:cf:fb:ef:bf	0	0	0	0	0	0	0	0	0.0
172.17.153.233	78:45:c4:3d:f5:33	0	0	0	0	0	0	0	0	0.0
172.17.152.129	8c:ec:4b:55:db:47	0	0	0	0	0	0	0	0	0.0
172.17.154.67	8c:ec:4b:cf:29:7c	0	0	0	0	0	0	0	0	0.0
172.17.156.114	8c:ec:4b:4a:15:ad	0	0	0	0	0	0	0	0	0.0
172.17.154.79	50:9a:4c:33:ac:fe	0	0	0	0	0	0	0	0	0.0
172.17.155.177	8c:ec:4b:cd:53:d7	0	0	0	0	0	0	0	0	0.0
172.17.154.5	8c:ec:4b:ce:b4:79	0	0	0	0	0	0	0	0	0.0
172.17.157.102	48:4d:7e:e5:b3:3c	0	0	0	0	0	0	0	0	0.0
172.17.153.29	50:9a:4c:33:b1:f2	0	0	0	0	0	0	0	0	0.0
172.17.152.130	8c:ec:4b:ce:b5:0f	0	0	0	0	0	0	0	0	0.0
172.17.155.110	48:4d:7e:e5:b3:8f	0	0	0	0	0	0	0	0	0.0
172.17.154.59	50:9a:4c:33:b4:03	0	0	0	0	0	0	0	0	0.0
172.17.152.193	00:25:11:e3:b8:ad	0	0	0	0	0	0	0	0	0.0
172.17.158.170	e4:54:e8:9d:09:16	0	0	0	0	0	0	0	0	0.0
31.13.64.61	1c:e6:c7:52:a7:00	1	0	0	0	0	0	0	0	12.5
172.17.157.120	8c:ec:4b:ce:a7:45	0	0	0	0	0	0	0	0	0.0
172.17.153.59	50:9a:4c:33:ac:f5	0	0	0	0	0	0	0	0	0.0
172.17.153.43	00:e0:4c:0a:f1:31	0	0	0	0	0	0	0	0	0.0
172.17.154.178	e4:a8:df:9b:80:e7	0	0	0	0	0	0	0	0	0.0
172.17.155.199	e4:54:e8:c3:49:08	0	0	0	0	0	0	0	0	0.0
172.17.153.54	e4:54:e8:9d:0d:5e	0	0	0	0	0	0	0	0	0.0
172.17.153.83	a8:93:4a:a2:98:a7	0	0	0	0	0	0	0	0	0.0
172.17.152.149	78:45:c4:3e:23:68	0	0	0	0	0	0	0	0	0.0
172.17.155.231	8c:ec:4b:cc:ba:56	0	0	0	0	0	0	0	0	0.0
172.17.156.151	8c:ec:4b:4a:15:ae	0	0	0	0	0	0	0	0	0.0
172.17.156.102	e4:a8:df:97:85:8d	0	0	0	0	0	0	0	0	0.0
172.17.153.226	e4:54:e8:9d:0a:66	0	0	0	0	0	0	0	0	0.0
172.17.154.80	8c:ec:4b:55:db:4e	0	0	0	0	0	0	0	0	0.0
172.17.154.185	8c:ec:4b:ce:b4:27	0	0	0	0	0	0	0	0	0.0
172.17.155.24	8c:ec:4b:ce:df:d4	0	0	0	0	0	0	0	0	0.0
172.17.156.177	8c:ec:4b:cf:27:2f	0	0	0	0	0	0	0	0	0.0
172.17.155.146	8c:ec:4b:cf:2a:b6	0	0	0	0	0	0	0	0	0.0
172.17.152.135	08:8f:c3:b9:a6:00	0	0	0	0	0	0	0	0	0.0
172.17.156.64	00:e0:4c:53:07:df	0	0	0	0	0	0	0	0	0.0
172.17.153.77	8c:ec:4b:55:d7:99	0	0	0	0	0	0	0	0	0.0
172.17.152.46	b0:00:b4:58:5c:e9	0	0	0	0	0	0	0	0	0.0
172.17.154.93	d4:3d:7e:48:60:a6	0	0	0	0	0	0	0	0	0.0
172.17.154.17	e4:54:e8:9d:09:1a	0	0	0	0	0	0	0	0	0.0
172.17.153.21	2c:3e:cf:fb:d2:4b	0	0	0	0	0	0	0	0	0.0
172.17.152.255	00:e0:4c:52:f4:79	0	0	0	0	0	0	0	0	0.0
172.17.153.55	8c:ec:4b:cc:bb:49	0	0	0	0	0	0	0	0	0.0
172.17.156.38	8c:ec:4b:ce:e1:2f	0	0	0	0	0	0	0	0	0.0
192.168.0.1	e0:1c:fc:f3:4a:82	0	0	0	0	0	0	0	0	0.0
172.17.154.34	8c:ec:4b:ce:aa:0d	0	0	0	0	0	0	0	0	0.0
172.17.156.58	8c:ec:4b:cc:e9:a7	0	0	0	0	0	0	0	0	0.0
172.17.154.226	00:e0:4c:0a:f3:f5	0	0	0	0	0	0	0	0	0.0
172.17.154.41	8c:ec:4b:55:dc:4b	0	0	0	0	0	0	0	0	0.0
172.17.153.87	8c:ec:4b:cf:27:2b	0	0	0	0	0	0	0	0	0.0
172.17.156.113	50:9a:4c:33:b1:ee	0	0	0	0	0	0	0	0	0.0
172.17.154.72	8c:ec:4b:4a:12:67	0	0	0	0	0	0	0	0	0.0
172.17.155.187	d4:3d:7e:48:63:76	0	0	0	0	0	0	0	0	0.0
172.17.152.178	78:45:c4:3e:1e:21	0	0	0	0	0	0	0	0	0.0
172.17.158.140	28:f1:0e:27:bd:d6	0	0	0	0	0	0	0	0	0.0
142.250.193.195	1c:e6:c7:52:a7:00	1	0	0	0	0	0	0	0	12.5
172.17.152.144	8c:ec:4b:55:d7:3c	0	0	0	0	0	0	0	0	0.0
172.17.153.10	a8:b1:3b:13:ec:0b	0	0	0	0	0	0	0	0	0.0
172.17.156.156	00:e0:4c:0c:1b:f9	0	0	0	0	0	0	0	0	0.0
172.17.156.195	18:c0:4d:e8:57:1d	0	0	0	0	0	0	0	0	0.0
172.17.156.213	00:e0:4c:0c:1d:06	0	0	0	0	0	0	0	0	0.0
172.17.153.153	00:e0:4c:0c:1e:15	0	0	0	0	0	0	0	0	0.0
172.17.152.223	50:9a:4c:33:b3:1f	0	0	0	0	0	0	0	0	0.0
172.17.152.92	f8:0d:ac:cb:e3:eb	0	0	0	0	0	0	0	0	0.0
172.17.152.219	50:eb:f6:df:eb:77	0	0	0	0	0	0	0	0	0.0
172.17.155.78	8c:ec:4b:ce:5b:c9	0	0	0	0	0	0	0	0	0.0
172.17.156.129	50:9a:4c:33:b4:04	0	0	0	0	0	0	0	0	0.0
172.17.153.160	80:e8:2c:70:e9:56	0	0	0	0	0	0	0	0	0.0
172.17.156.101	00:e0:4c:0c:1f:4d	0	0	0	0	0	0	0	0	0.0
172.17.154.74	50:9a:4c:33:ad:03	0	0	0	0	0	0	0	0	0.0
172.17.157.111	a4:bb:6d:8a:0a:f5	0	0	0	0	0	0	0	0	0.0
172.17.154.144	2c:6f:c9:33:b4:79	0	0	0	0	0	0	0	0	0.0
172.17.155.223	8c:ec:4b:ce:a9:88	0	0	0	0	0	0	0	0	0.0
172.17.156.62	8c:ec:4b:4a:15:a0	0	0	0	0	0	0	0	0	0.0
172.17.156.98	00:e0:4c:0b:3e:aa	0	0	0	0	0	0	0	0	0.0
172.17.158.88	00:e0:4c:0b:3a:c7	0	0	0	0	0	0	0	0	0.0
172.17.153.69	6c:24:08:74:53:fa	0	0	0	0	0	0	0	0	0.0
172.17.152.205	00:e0:4c:0b:3b:3b	0	0	0	0	0	0	0	0	0.0
157.240.1.37	1c:e6:c7:52:a7:00	1	0	0	0	0	0	0	0	12.5
172.17.152.187	8c:ec:4b:ce:35:30	0	0	0	0	0	0	0	0	0.0
172.17.153.93	8c:ec:4b:cf:27:34	0	0	0	0	0	0	0	0	0.0
172.17.154.168	50:9a:4c:32:0d:5e	0	0	0	0	0	0	0	0	0.0
172.17.153.72	e4:54:e8:9d:09:ad	0	0	0	0	0	0	0	0	0.0
172.17.157.146	d4:3d:7e:48:67:b4	0	0	0	0	0	0	0	0	0.0
172.17.152.41	e4:a8:df:9b:98:15	0	0	0	0	0	0	0	0	0.0
172.17.155.120	e4:54:e8:9d:09:32	0	0	0	0	0	0	0	0	0.0
172.17.152.72	00:e0:4c:0a:ed:17	0	0	0	0	0	0	0	0	0.0
172.17.152.183	8c:ec:4b:ce:b7:01	0	0	0	0	0	0	0	0	0.0
172.17.152.122	00:e0:4c:0c:1d:fb	0	0	0	0	0	0	0	0	0.0
172.17.153.62	8c:ec:4b:ce:79:26	0	0	0	0	0	0	0	0	0.0
172.17.152.118	a4:bb:6d:8a:0d:c9	0	0	0	0	0	0	0	0	0.0
172.17.155.52	d4:3d:7e:48:62:c5	0	0	0	0	0	0	0	0	0.0
172.17.158.66	8c:ec:4b:55:d9:c0	0	0	0	0	0	0	0	0	0.0
172.17.153.241	8c:ec:4b:ce:79:7b	0	0	0	0	0	0	0	0	0.0
172.17.153.187	00:e0:4c:0b:3c:b8	0	0	0	0	0	0	0	0	0.0
172.17.154.116	78:45:c4:3e:20:4e	0	0	0	0	0	0	0	0	0.0
172.17.153.79	a8:b1:3b:7c:62:42	0	0	0	0	0	0	0	0	0.0
172.17.154.159	00:e0:4c:0b:3f:c6	0	0	0	0	0	0	0	0	0.0
172.17.153.123	8c:ec:4b:ce:ab:d1	0	0	0	0	0	0	0	0	0.0
172.17.156.16	8c:ec:4b:4a:15:b6	0	0	0	0	0	0	0	0	0.0
172.17.157.248	a4:bb:6d:8a:09:a4	0	0	0	0	0	0	0	0	0.0
172.17.153.68	e4:54:e8:9d:0a:3f	0	0	0	0	0	0	0	0	0.0
172.17.153.19	8c:ec:4b:56:24:9f	0	0	0	0	0	0	0	0	0.0
172.17.153.45	00:e0:4c:0b:3f:de	0	0	0	0	0	0	0	0	0.0
172.17.153.40	78:45:c4:3d:f6:33	0	0	0	0	0	0	0	0	0.0
172.17.158.48	8c:ec:4b:ce:ab:84	0	0	0	0	0	0	0	0	0.0
172.17.158.148	c0:25:a5:92:b3:4f	0	0	0	0	0	0	0	0	0.0
172.17.158.100	00:e0:4c:0c:1c:77	0	0	0	0	0	0	0	0	0.0
172.17.152.232	8c:ec:4b:ce:ac:a7	0	0	0	0	0	0	0	0	0.0
172.17.156.175	8c:ec:4b:4a:16:80	0	0	0	0	0	0	0	0	0.0
172.17.153.97	e4:54:e8:9d:09:14	0	0	0	0	0	0	0	0	0.0
172.17.154.120	d4:3d:7e:48:62:a7	0	0	0	0	0	0	0	0	0.0
172.17.154.22	00:e0:4c:0b:3c:f9	0	0	0	0	0	0	0	0	0.0
172.17.157.1	00:e0:4c:0b:3e:72	0	0	0	0	0	0	0	0	0.0
172.17.154.95	8c:ec:4b:ce:b6:77	0	0	0	0	0	0	0	0	0.0
172.17.154.38	8c:ec:4b:ce:a7:ee	0	0	0	0	0	0	0	0	0.0
172.17.153.211	50:eb:f6:df:ec:82	0	0	0	0	0	0	0	0	0.0
172.17.153.174	78:45:c4:3e:20:b2	0	0	0	0	0	0	0	0	0.0
172.17.40.3	1c:e6:c7:52:a7:00	1	0	0	0	0	0	0	0	12.5
172.17.153.127	8c:ec:4b:ce:5e:3f	0	0	0	0	0	0	0	0	0.0
172.17.157.200	5c:60:ba:be:90:0f	0	0	0	0	0	0	0	0	0.0
172.217.167.195	1c:e6:c7:52:a7:00	1	0	0	0	0	0	0	0	12.5
172.17.153.109	8c:ec:4b:9a:d1:e5	0	0	0	0	0	0	0	0	0.0
172.17.152.188	78:45:c4:3e:24:ce	0	0	0	0	0	0	0	0	0.0
172.17.154.27	8c:ec:4b:ce:e0:ce	0	0	0	0	0	0	0	0	0.0
172.17.157.204	a4:bb:6d:8a:0a:e5	0	0	0	0	0	0	0	0	0.0
172.17.152.142	78:45:c4:3e:1e:d8	0	0	0	0	0	0	0	0	0.0
172.17.156.230	50:9a:4c:33:b3:a0	0	0	0	0	0	0	0	0	0.0
172.17.153.190	00:e0:4c:0c:1d:4a	0	0	0	0	0	0	0	0	0.0
172.17.153.147	8c:ec:4b:ce:b5:fb	0	0	0	0	0	0	0	0	0.0
172.17.153.44	8c:ec:4b:55:d9:86	0	0	0	0	0	0	0	0	0.0
172.17.158.137	00:e0:4c:0a:ed:6e	0	0	0	0	0	0	0	0	0.0
172.17.153.14	8c:ec:4b:ce:76:99	0	0	0	0	0	0	0	0	0.0
172.17.152.127	78:84:3c:ee:6f:9e	0	0	0	0	0	0	0	0	0.0
172.17.157.108	a4:bb:6d:8a:06:ed	0	0	0	0	0	0	0	0	0.0
172.17.153.17	8c:ec:4b:cb:a3:4e	0	0	0	0	0	0	0	0	0.0
172.17.152.85	50:9a:4c:32:0b:3d	0	0	0	0	0	0	0	0	0.0
172.17.152.47	a8:42:a1:fb:f6:9f	0	0	0	0	0	0	0	0	0.0
172.17.152.208	e4:54:e8:9d:09:28	0	0	0	0	0	0	0	0	0.0
172.17.153.52	8c:ec:4b:ce:78:85	0	0	0	0	0	0	0	0	0.0
172.17.157.72	a4:bb:6d:8a:09:f2	0	0	0	0	0	0	0	0	0.0
172.17.153.34	8c:ec:4b:cd:61:19	0	0	0	0	0	0	0	0	0.0
172.17.152.164	8c:ec:4b:cf:28:e3	0	0	0	0	0	0	0	0	0.0
172.17.153.116	8c:ec:4b:4a:12:da	0	0	0	0	0	0	0	0	0.0
172.17.152.189	8c:ec:4b:ce:e9:ed	0	0	0	0	0	0	0	0	0.0
172.17.154.51	8c:ec:4b:55:db:49	0	0	0	0	0	0	0	0	0.0
172.17.157.253	a4:bb:6d:8a:0c:36	0	0	0	0	0	0	0	0	0.0
172.17.156.100	e4:54:e8:9d:08:9e	0	0	0	0	0	0	0	0	0.0
172.17.157.33	a4:bb:6d:8a:08:05	0	0	0	0	0	0	0	0	0.0
172.17.156.226	00:e0:4c:0b:34:c0	0	0	0	0	0	0	0	0	0.0
172.17.154.193	8c:ec:4b:ce:a3:a2	0	0	0	0	0	0	0	0	0.0
172.17.158.184	e4:a8:df:97:86:5f	0	0	0	0	0	0	0	0	0.0
172.17.153.126	8c:ec:4b:ce:e5:fa	0	0	0	0	0	0	0	0	0.0
172.17.154.105	00:e0:4c:52:fe:e2	0	0	0	0	0	0	0	0	0.0
172.17.154.83	d4:3d:7e:48:63:5c	0	0	0	0	0	0	0	0	0.0
172.17.152.93	7c:c2:c6:53:8b:cd	0	0	0	0	0	0	0	0	0.0
172.17.152.81	b0:19:21:6c:dc:a7	0	0	0	0	0	0	0	0	0.0
172.17.153.49	50:9a:4c:33:b1:f9	0	0	0	0	0	0	0	0	0.0
172.17.154.186	30:de:4b:49:ae:94	0	0	0	0	0	0	0	0	0.0
172.17.153.182	48:4d:7e:e5:9d:cf	0	0	0	0	0	0	0	0	0.0
172.17.152.231	8c:ec:4b:cd:55:36	0	0	0	0	0	0	0	0	0.0
172.17.152.105	e4:54:e8:9d:0a:b1	0	0	0	0	0	0	0	0	0.0
172.17.154.20	8c:ec:4b:ce:b8:65	0	0	0	0	0	0	0	0	0.0
